Training,Model,Train_Images,Val_Images,Total_Images,Epochs,Batch,LR0,Cos_LR,Best_Epoch,Precision,Recall,mAP@0.5,mAP@0.5:0.95
train_results_v10_yolo11_lr.003_noaugm,yolo11n.pt,708,179,887,250,8,0.003,False,123,0.9336,0.6772,0.76,0.5056
train_results_v5_yolo11_7_lr.003,yolo11n.pt,951,81,1032,150,32,0.003,False,116,0.939,0.7439,0.8372,0.5349
train_results_v5_yolo11_8_lr.0032,yolo11n.pt,951,81,1032,150,32,0.005,False,88,0.9466,0.8015,0.8684,0.559
train_results_v10_yolo11_lr.003_noaugm2,yolo11n.pt,708,179,887,200,8,0.01,False,149,0.9365,0.8456,0.8881,0.6076
train_results_v4_yolo11,yolo11n.pt,726,62,788,200,16,0.01,False,73,0.9226,0.9019,0.9735,0.6131
train_results_v9_yolo11_2_lr.003,yolo11n.pt,2124,179,2303,250,8,0.003,False,230,0.9454,0.8495,0.887,0.6241
train_results_v11_large,yolo11l.pt,4383,368,4751,100,4,0.01,False,53,0.8604,0.7255,0.8454,0.6314
train_results_v7_1,yolo11n.pt,951,81,1032,200,4,0.01,False,83,0.8849,0.7855,0.836,0.6752
train_results_v12_yolov11n_lr005_coslrTrue,yolo11n.pt,6984,585,7569,150,8,0.005,True,98,0.8812,0.7657,0.8471,0.6905
train_results_v11_lr005,yolo11n.pt,4383,368,4751,250,8,0.005,False,158,0.8887,0.8918,0.9116,0.6955
train_results_v12_yolov11n_lr001_coslrFalse_batch16,yolo11n.pt,6984,585,7569,200,16,0.001,False,86,0.8826,0.8243,0.8685,0.7014
train_results_v12_yolov11n_lr002_coslrTrue,yolo11n.pt,6984,585,7569,125,8,0.002,True,82,0.8624,0.8166,0.8652,0.7022
train_results_v11_yolov8n,yolov8n.pt,4383,368,4751,200,4,0.01,False,102,0.9259,0.7931,0.8544,0.7067
train_results_v12_yolov11n_lr002_coslrFalse_batch16,yolo11n.pt,6984,585,7569,125,16,0.002,False,66,0.8586,0.8098,0.8746,0.7116
train_results_v12_yolov11n_lr002_coslrFalse,yolo11n.pt,6984,585,7569,125,8,0.002,False,84,0.88,0.7853,0.8632,0.7162
train_results_v12_yolov11n_lr005_coslrFalse,yolo11n.pt,6984,585,7569,125,8,0.005,False,84,0.88,0.7853,0.8632,0.7162
train_results_v12_yolov11n_lr001_coslrTrue_batch16,yolo11n.pt,6984,585,7569,200,16,0.001,True,73,0.9136,0.8158,0.8779,0.723
